"項目","単位","1980_","1981_","1982_","1983_","1984_59","1985_","1986_","1987_","1988_","1989_1","1990_","1991_","1992_","1993_","1994_6","1995_","1996_","1997_","1998_","1999_11","2000_","2001_","2002_","2003_","2004_16","2005_","2006_","2007_","2008_","2009_","有効数字(少数桁)"
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_家事用耐久財_洗濯機","％","","","","","－","","","","","－","","","","","15.0","","","","","34.1","","","","","51.7","","","","","61.1",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_家事用耐久財_電気洗濯機（全自動式）","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","41.5","","","","","45.2",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_家事用耐久財_電気洗濯機（その他）","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","10.2","","","","","15.9",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_家事用耐久財_食器洗い機","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_家事用耐久財_電動ミシン","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_冷暖房用器具","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_冷暖房用器具_ルームエアコン","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_冷暖房用器具_ルームエアコン_（１台）","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_冷暖房用器具_ルームエアコン_（２台）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_冷暖房用器具_ルームエアコン_（３台）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_冷暖房用器具_ルームエアコン_（４台以上）","％","","","","","61.5","","","","","77.0","","","","","90.7","","","","","96.8","","","","","97.8","","","","","98.2",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_冷暖房用器具_電気こたつ","％","","","","","－","","","","","－","","","","","79.8","","","","","84.5","","","","","88.2","","","","","86.8",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_一般家具","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","98.2","","","","","97.8",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_一般家具_和だんす(作り付けを除く)","％","","","","","31.8","","","","","46.2","","","","","55.3","","","","","43.9","","","","","44.1","","","","","36.0",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_一般家具_洋服だんす(作り付けを除く)","％","","","","","79.2","","","","","67.1","","","","","64.0","","","","","80.2","","","","","76.5","","","","","79.8",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_一般家具_整理だんす(作り付けを除く)","％","","","","","98.4","","","","","97.7","","","","","98.9","","","","","99.0","","","","","99.3","","","","","99.0",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_一般家具_食堂セット(食卓と椅子のセット)","％","","","","","－","","","","","－","","","","","－","","","","","99.3","","","","","99.2","","","","","99.7",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_一般家具_茶だんす･食器戸棚","％","","","","","30.5","","","","","36.7","","","","","56.7","","","","","－","","","","","－","","","","","38.5",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_一般家具_サイドボード･リビングボード","％","","","","","74.5","","","","","69.2","","","","","57.5","","","","","－","","","","","－","","","","","68.6",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_一般家具_鏡台(ドレッサー)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_一般家具_ユニット家具(購入価格が20万円以上)","％","","","","","－","","","","","8.5","","","","","10.7","","","","","－","","","","","28.6","","","","","41.6",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_一般家具_応接セット(3点セット以上)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_家庭用耐久財_一般家具_応接用座卓(食卓を除く)","％","","","","","91.4","","","","","66.1","","","","","76.4","","","","","69.1","","","","","68.0","","","","","60.4",""
"主要耐久消費財普及率二人以上（全世帯）_室内装備･装飾品","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"主要耐久消費財普及率二人以上（全世帯）_室内装備･装飾品__じゅうたん(5万円以上のもの)","％","","","","","74.0","","","","","79.0","","","","","93.6","","","","","96.0","","","","","95.4","","","","","96.2",""
"主要耐久消費財普及率二人以上（全世帯）_寝具類","％","","","","","43.6","","","","","37.8","","","","","28.0","","","","","18.0","","","","","13.2","","","","","13.4",""
"主要耐久消費財普及率二人以上（全世帯）_寝具類__ベッド･ソファーベッド(作り付けを除く)","％","","","","","20.3","","","","","24.1","","","","","31.4","","","","","27.6","","","","","22.9","","","","","18.1",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信","％","","","","","10.1","","","","","17.1","","","","","34.2","","","","","50.4","","","","","21.7","","","","","23.4",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","37.6","","","","","41.3",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_（１台）","％","","","","","95.9","","","","","83.0","","","","","86.1","","","","","91.6","","","","","90.3","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_（２台）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_（３台以上）","％","","","","","95.4","","","","","92.7","","","","","92.5","","","","","88.8","","","","","84.6","","","","","81.0",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_国産自動車","％","","","","","97.0","","","","","96.0","","","","","95.4","","","","","96.3","","","","","92.1","","","","","88.2",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_国産自動車_軽自動車(660cc以下)","％","","","","","97.7","","","","","97.1","","","","","97.5","","","","","96.6","","","","","92.3","","","","","87.1",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_国産自動車_小型自動車A(661～1000cc)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_国産自動車_小型自動車B(1001～1500cc)","％","","","","","78.9","","","","","81.9","","","","","81.6","","","","","82.1","","","","","83.7","","","","","84.4",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_国産自動車_小型自動車C(1501～2000cc)","％","","","","","94.3","","","","","94.7","","","","","97.0","","","","","95.1","","","","","94.0","","","","","93.4",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_国産自動車_普通自動車A(2001～3000cc)","％","","","","","－","","","","","45.9","","","","","49.1","","","","","46.8","","","","","46.6","","","","","39.3",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_国産自動車_普通自動車B(3001cc以上)","％","","","","","－","","","","","94.2","","","","","92.2","","","","","87.5","","","","","82.7","","","","","78.1",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_国産自動車_(再掲)新車で購入","％","","","","","－","","","","","6.7","","","","","6.0","","","","","6.5","","","","","7.1","","","","","5.9",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_国産自動車_(再掲)中古車で購入","％","","","","","49.7","","","","","44.6","","","","","35.7","","","","","29.8","","","","","30.0","","","","","28.7",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_輸入自動車  ","％","","","","","－","","","","","39.7","","","","","49.3","","","","","52.6","","","","","38.2","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_輸入自動車  _輸入自動車A(2000cc以下)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_輸入自動車  _輸入自動車B(2001～3000cc)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_輸入自動車  _輸入自動車C(3001cc以上)","％","","","","","－","","","","","51.1","","","","","52.7","","","","","19.7","","","","","18.3","","","","","15.9",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_輸入自動車  _(再掲)新車で購入","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_自動車_輸入自動車  _(再掲)中古車で購入","％","","","","","56.9","","","","","50.4","","","","","55.0","","","","","54.9","","","","","63.0","","","","","68.0",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_オートバイ･スクーター","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_オートバイ･スクーター_（１台）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_オートバイ･スクーター_（２台以上）","％","","","","","75.2","","","","","81.3","","","","","88.7","","","","","91.5","","","","","93.7","","","","","95.3",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_オートバイ･スクーター_原動機付自転車(50cc以下)","％","","","","","55.8","","","","","47.7","","","","","41.0","","","","","38.7","","","","","37.0","","","","","35.8",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_オートバイ･スクーター_自動二輪車A(51～125cc)","％","","","","","19.4","","","","","33.6","","","","","33.7","","","","","38.6","","","","","38.6","","","","","44.8",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_オートバイ･スクーター_自動二輪車B(126～250cc)","％","","","","","－","","","","","－","","","","","14.0","","","","","14.2","","","","","18.0","","","","","14.7",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_オートバイ･スクーター_自動二輪車C(251～500cc)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","93.0","","","","","94.2",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_自動車等_オートバイ･スクーター_自動二輪車D(501cc以上)","％","","","","","－","","","","","39.4","","","","","46.7","","","","","46.0","","","","","54.8","","","","","60.8",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_通信機器","％","","","","","－","","","","","4.4","","","","","4.4","","","","","9.8","","","","","7.1","","","","","6.2",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_通信機器_携帯電話(ＰＨＳを含む)","％","","","","","－","","","","","32.2","","","","","26.0","","","","","21.8","","","","","29.2","","","","","27.0",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_通信機器_携帯電話(ＰＨＳを含む)_（１台）","％","","","","","－","","","","","33.5","","","","","38.6","","","","","36.8","","","","","28.3","","","","","27.3",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_通信機器_携帯電話(ＰＨＳを含む)_（２台以上）","％","","","","","－","","","","","2.9","","","","","14.4","","","","","24.2","","","","","22.2","","","","","18.4",""
"主要耐久消費財普及率二人以上（全世帯）_交通･通信_通信機器_ファクシミリ(コピー付を含む)","％","","","","","－","","","","","-","","","","","1.4","","","","","3.6","","","","","4.0","","","","","4.5",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__プラズマテレビ","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__液晶テレビ","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__カラーテレビ","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__カラーテレビ_（１台）","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__カラーテレビ_（２台）","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__カラーテレビ_（３台）","％","","","","","－","","","","","69.9","","","","","74.3","","","","","78.9","","","","","80.9","","","","","79.3",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__カラーテレビ_（４台以上）","％","","","","","－","","","","","18.9","","","","","27.5","","","","","26.9","","","","","27.1","","","","","28.1",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__カラーテレビ_カラーテレビ( 29インチ未満)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","3.7","","","","","4.2",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__カラーテレビ_カラーテレビ( 29インチ以上)","％","","","","","－","","","","","0.6","","","","","1.6","","","","","2.2","","","","","2.1","","","","","2.2",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ステレオセット又はＣＤ･ＭＤラジオカセット","％","","","","","－","","","","","0.1","","","","","0.4","","","","","0.7","","","","","1.3","","","","","1.5",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ステレオセット又はＣＤ･ＭＤラジオカセット_（１台）","％","","","","","－","","","","","0.2","","","","","0.4","","","","","0.5","","","","","0.5","","","","","0.5",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ステレオセット又はＣＤ･ＭＤラジオカセット_（２台以上）","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ステレオセット","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ステレオセット_（１台）","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ステレオセット_（２台以上）","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ＣＤ･ＭＤラジオカセット","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ラジオカセット","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ＣＤラジオカセット","％","","","","","－","","","","","0.6","","","","","1.4","","","","","2.5","","","","","2.8","","","","","2.9",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ＤＶＤレコーダー","％","","","","","－","","","","","0.3","","","","","1.0","","","","","0.8","","","","","1.0","","","","","1.3",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ビデオテープレコーダー","％","","","","","71.6","","","","","43.4","","","","","56.9","","","","","46.2","","","","","43.2","","","","","42.1",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ビデオテープレコーダー_（１台）","％","","","","","51.3","","","","","31.5","","","","","42.2","","","","","34.0","","","","","33.5","","","","","32.8",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ビデオテープレコーダー_（２台以上）","％","","","","","20.3","","","","","11.9","","","","","14.7","","","","","12.3","","","","","9.7","","","","","9.3",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ビデオデッキ","％","","","","","58.7","","","","","36.5","","","","","46.1","","","","","38.1","","","","","36.0","","","","","34.0",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__パソコン","％","","","","","－","","","","","10.7","","","","","13.7","","","","","11.1","","","","","8.2","","","","","7.0",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__パソコン_（１台）","％","","","","","－","","","","","0.6","","","","","2.2","","","","","2.0","","","","","1.6","","","","","2.6",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__パソコン_（２台以上）","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ワープロ","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__カメラ(デジタルカメラを含む)","％","","","","","－","","","","","0.6","","","","","2.2","","","","","0.5","","","","","1.8","","","","","1.2",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ビデオカメラ(デジタルを含む)","％","","","","","－","","","","","0.3","","","","","0.9","","","","","1.3","","","","","1.3","","","","","1.8",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__ピアノ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__電子オルガン","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用耐久財__書斎･学習用机(ﾗｲﾃｨﾝｸﾞﾃﾞｽｸを含む)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用品","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"主要耐久消費財普及率二人以上（全世帯）_教養娯楽用品__ゴルフ用具一式(ﾊｰﾌｾｯﾄを含む)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_集計世帯数","％","","","","","－","","","","","－","","","","","－","","","","","69.3","","","","","87.7","","","","","93.4",""
"二人以上（勤労者世帯）_世帯数分布(抽出率調整)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","25.4","","","","","17.3",""
"二人以上（勤労者世帯）_(１万分比)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","62.3","","","","","76.1",""
"二人以上（勤労者世帯）_世帯人員 ","％","","","","","－","","","","","－","","","","","11.0","","","","","32.2","","","","","47.1","","","","","54.6",""
"二人以上（勤労者世帯）_世帯人員 _18歳未満人員","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"二人以上（勤労者世帯）_世帯人員 _65歳以上人員","％","","","","","","","","","","","","","","","","","","","","","","","","","2.7","","","","","－",""
"二人以上（勤労者世帯）_世帯人員 _65歳以上人員_うち無職者人員 ","％","","","","","","","","","","","","","","","","","","","","","","","","","7.9","","","","","－",""
"二人以上（勤労者世帯）_有業人員","％","","","","","99.1","","","","","98.1","","","","","99.6","","","","","98.9","","","","","97.8","","","","","－",""
"二人以上（勤労者世帯）_持ち家率（現住居）","％","","","","","41.6","","","","","30.0","","","","","26.8","","","","","20.5","","","","","26.2","","","","","－",""
"二人以上（勤労者世帯）_現住居の延べ床面積","％","","","","","37.2","","","","","38.5","","","","","35.2","","","","","33.7","","","","","30.6","","","","","－",""
"二人以上（勤労者世帯）_年間収入","％","","","","","20.3","","","","","29.6","","","","","37.6","","","","","44.6","","","","","25.5","","","","","－",""
"二人以上（勤労者世帯）_世帯主の年齢","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","15.5","","","","","－",""
"二人以上（勤労者世帯）_設備器具","％","","","","","－","","","","","69.2","","","","","92.2","","","","","88.3","","","","","84.1","","","","","－",""
"二人以上（勤労者世帯）_設備器具__システムキッチン","％","","","","","－","","","","","65.6","","","","","36.3","","","","","48.6","","","","","48.0","","","","","－",""
"二人以上（勤労者世帯）_設備器具__太陽熱温水器","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","76.6","","","","","68.0",""
"二人以上（勤労者世帯）_設備器具__給湯器(ガス瞬間湯沸器を除く)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","44.0","","","","","43.9",""
"二人以上（勤労者世帯）_設備器具__洗髪洗面化粧台","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","32.6","","","","","24.1",""
"二人以上（勤労者世帯）_設備器具__温水洗浄便座","％","","","","","67.3","","","","","58.8","","","","","54.3","","","","","49.5","","","","","－","","","","","23.2",""
"二人以上（勤労者世帯）_設備器具__温水洗浄便座_（１台）","％","","","","","62.9","","","","","54.4","","","","","48.3","","","","","43.1","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_設備器具__温水洗浄便座_（２台以上）","％","","","","","4.4","","","","","4.4","","","","","6.0","","","","","6.4","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財","％","","","","","－","","","","","－","","","","","－","","","","","77.4","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_家事用耐久財","％","","","","","76.3","","","","","60.7","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_家事用耐久財_電子レンジ(電子ｵｰﾌﾞﾝﾚﾝｼﾞを含む)","％","","","","","－","","","","","24.9","","","","","67.3","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_家事用耐久財_自動炊飯器(遠赤釜 IH型)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","24.8","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_家事用耐久財_冷蔵庫","％","","","","","28.9","","","","","－","","","","","65.9","","","","","76.8","","","","","80.7","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_家事用耐久財_冷蔵庫_冷蔵庫( 300 l未満 )","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","50.4","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_家事用耐久財_冷蔵庫_冷蔵庫( 300 l以上 )","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","30.3","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_家事用耐久財_電気掃除機","％","","","","","－","","","","","68.3","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_家事用耐久財_洗濯機","％","","","","","3.8","","","","","9.2","","","","","14.2","","","","","31.6","","","","","67.6","","","","","75.3",""
"二人以上（勤労者世帯）_家庭用耐久財_家事用耐久財_電気洗濯機（全自動式）","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","50.2","","","","","52.1",""
"二人以上（勤労者世帯）_家庭用耐久財_家事用耐久財_電気洗濯機（その他）","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","17.4","","","","","23.2",""
"二人以上（勤労者世帯）_家庭用耐久財_家事用耐久財_食器洗い機","％","","","","","－","","","","","18.1","","","","","39.7","","","","","38.0","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_家事用耐久財_電動ミシン","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_冷暖房用器具","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_冷暖房用器具_ルームエアコン","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_冷暖房用器具_ルームエアコン_（１台）","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_冷暖房用器具_ルームエアコン_（２台）","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_冷暖房用器具_ルームエアコン_（３台）","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_冷暖房用器具_ルームエアコン_（４台以上）","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_冷暖房用器具_電気こたつ","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_一般家具","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_一般家具_和だんす(作り付けを除く)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_一般家具_洋服だんす(作り付けを除く)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_一般家具_整理だんす(作り付けを除く)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_一般家具_食堂セット(食卓と椅子のセット)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_一般家具_茶だんす･食器戸棚","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_一般家具_サイドボード･リビングボード","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_一般家具_鏡台(ドレッサー)","％","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_家庭用耐久財_一般家具_ユニット家具 (購入価格が20万円以上)","％","","","","","87.7","","","","","83.2","","","","","87.4","","","","","82.5","","","","","79.1","","","","","76.7",""
"二人以上（勤労者世帯）_家庭用耐久財_一般家具_応接セット(3点セット以上)","％","","","","","4.7","","","","","15.6","","","","","35.9","","","","","36.1","","","","","40.3","","","","","41.4",""
"二人以上（勤労者世帯）_家庭用耐久財_一般家具_応接用座卓(食卓を除く)","％","","","","","26.2","","","","","28.3","","","","","-","","","","","28.9","","","","","32.8","","","","","26.5",""
"二人以上（勤労者世帯）_室内装備･装飾品","％","","","","","21.7","","","","","14.2","","","","","18.3","","","","","18.2","","","","","－","","","","","－",""
"二人以上（勤労者世帯）_室内装備･装飾品__じゅうたん(5万円以上のもの)","％","","","","","－","","","","","－","","","","","60.4","","","","","65.1","","","","","63.4","","","","","57.0",""
"二人以上（勤労者世帯）_寝具類","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"二人以上（勤労者世帯）_寝具類__ベッド･ソファーベッド(作り付けを除く)","％","","","","","29.1","","","","","30.3","","","","","37.8","","","","","40.8","","","","","35.2","","","","","35.0",""
"二人以上（勤労者世帯）_交通･通信","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
